bol,19
made,19
@AJ,19
you’re,19
aaj,19
try,19
saying,19
online,19
10,19
And,19
beautiful,19
trisha,19
true,19
acha,19
stream,18
aj,18
?!,18
means,18
@sara,18
dost,18
sup,18
yuh,18
guy,18
Montoya,18
thing,18
doesn't,18
lakshya,18
here?,18
nope,18
卩ㄩ丂丂ㄚ.匚ㄖ爪🕳,18
maybe,18
mas,18
may,18
لا,18
loves,18
Yes,18
Anikewt,18
college,18
AJ,18
Delilah,17
6,17
Sandeep,17
country,17
Mohit,17
@Sally,17
hru,17
tf,17
wanted,17
fake,17
me?,17
#Rishi,17
dead,17
d,17
wants,17
N,17
THE,17
jo,17
King,17
😊,17
hehe,17
kiara,17
matter,17
whatever,17
есть,17
Happy,17
@Isabella,17
🤔,17
big,17
kinda,17
alone,17
❤️,17
l,17
@Sema,17
literally,17
end,17
@maya,17
😏,17
miss,16
anushka,16
ig,16
hoga,16
reply,16
put,16
shreeya,16
show,16
niyati,16
ne,16
bole,16
kha,16
let,16
hmm,16
could,16
tired,16
Rana,16
covid,16
went,16
told,16
looks,16
It,16
"@Der,",16
It’s,16
Shreeya,16
already,16
simp,16
Is,16
pretty,16
yaad,16
Curtis,16
da,16
called,16
hua,16
without,16
😞,16
pablos,16
Just,16
isn't,16
8,16
damn,16
days,16
let's,15
With,15
funny,15
didn't,15
every,15
sometimes,15
MY,15
last,15
rahi,15
java,15
while,15
kate,15
change,15
bata,15
aqui,15
soon,15
kaiku,15
type,15
head,15
15,15
#Aryan,15
nobody,15
ꈍᴥꈍʔ,15
ik,15
brb,15
final,15
boring,15
everything,15
ice,15
Alin,15
different,15
class,15
@Mrd,15
That’s,14
year,14
bts,14
Yeah,14
aye,14
@Devan,14
ʕ,14
kaisa,14
hui,14
yep,14
это,14
hn,14
🤣🤣,14
;-;,14
16,14
years,14
heyy,14
ku,14
Raza,14
says,14
age,14
é,14
vo,14
chalo,14
learn,14
Azan,14
cause,14
@Anna,14
ji,14
star,14
STREAM,14
me.,14
Isabella,14
profile,14
anime,14
aniket,14
Я,14
wbu,14
7,14
los,14
sen,14
pe,14
ما,14
corona,14
lot,14
feeling,14
cant,14
@Harshita,14
eyes,14
14,14
he's,14
jaldi,14
#Anu,14
trying,14
porque,14
das,14
insta,14
да,14
fast,14
v,14
le,14
these,14
mind,13
卂,13
Tem,13
Everyone,13
و,13
son,13
mothers,13
blocked,13
yup,13
:(,13
Ok,13
Ui,13
myself,13
rhe,13
kaisi,13
Javeed,13
9,13
understand,13
thodi,13
@brownie,13
q,13
@Shreeya,13
@galaxy,13
@Lauren,13
@Browine,13
used,13
Nian,13
nicht,13
Google,13
stay,13
Tushar,13
almost,13
tryna,13
lil,13
GAMER11,13
another,13
happened,13
reason,13
things,13
red,13
),13
vv🍆千ㄩ匚Ҝ,13
