Sharlene,@Biss bitcoin?,2021-05-24 01:57:13,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Sharlene,@Biss how much is one share of monero?,2021-05-24 01:59:52,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Sharlene,"@Biss oh dang, its not a useless coin tho right",2021-05-24 02:02:38,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Sharlene,@bisss,2021-05-24 02:05:26,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Sharlene,@Biss bruh,2021-05-24 02:05:51,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Sharlene,@Biss bruh 700mil+ trading volume woAhh,2021-05-24 02:08:49,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Sharlene,@Biss yes ive heard the same from many mouths ,2021-05-24 02:15:18,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Sharlene,@Biss like 2004 or sum,2021-05-24 02:22:49,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Person,@Biss 2008,2021-05-24 02:23:21,UCn8GKeCvvqYy51DEjsteN3Q,https://youtube.com/channel/UCn8GKeCvvqYy51DEjsteN3Q
Author,Message,Date,Channel ID,Channel
Sycamore,@Sharlene tag biss and say 2005,2021-05-24 02:23:37,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Sharlene,@Biss 2005,2021-05-24 02:24:04,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Sarge,@Biss monero,2021-05-24 02:25:19,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sharlene,@Biss huh?,2021-05-24 02:25:41,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Will Tucker,#Biss your current earnings are .24c,2021-05-24 02:26:17,UC-RQKfmxlAEVc1lQAHO0jyg,https://youtube.com/channel/UC-RQKfmxlAEVc1lQAHO0jyg
Author,Message,Date,Channel ID,Channel
Sharlene,@Biss moreno,2021-05-24 02:26:51,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Sycamore,@Biss monero,2021-05-24 02:32:56,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Nolan McClellan,@Biss too many...,2021-05-24 02:34:42,UCK2oowwWcP2kh7EZhf_xzWQ,https://youtube.com/channel/UCK2oowwWcP2kh7EZhf_xzWQ
Author,Message,Date,Channel ID,Channel
Sycamore,@biss 8,2021-05-24 02:36:23,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Sarge,@biss balance,2021-05-24 02:42:50,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sarge,@Biss orange,2021-05-24 02:43:42,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sycamore,@biss sundar,2021-05-24 02:48:11,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Sarge,@biss update wallet 43gN49UjHNdXDgkcWHTxceHNjXBxcKsReSNThGwzHVavHeZ4SSxSCPT8EpD5cbwAWqEqFQw12rsyTJbKGbeXo43SVpPXZ2W,2021-05-24 03:03:55,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sarge,@Biss update wallet 43gN49UjHNdXDgkcWHTxceHNjXBxcKsReSNThGwzHVavHeZ4SSxSCPT8EpD5cbwAWqEqFQw12rsyTJbKGbeXo43SVpPXZ2W,2021-05-24 03:05:40,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sarge,@biss sundar,2021-05-24 03:20:16,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sycamore,@biss update wallet ,2021-05-24 03:22:09,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Sycamore,@Biss update wallet ,2021-05-24 03:23:26,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Sharlene,@biss yellow,2021-05-24 03:23:39,UCQJGR0vWzXU8keaXUfmnaWQ,https://youtube.com/channel/UCQJGR0vWzXU8keaXUfmnaWQ
Author,Message,Date,Channel ID,Channel
Sycamore,@Biss ho ,2021-05-24 03:25:33,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Sycamore,@biss orange,2021-05-24 03:26:38,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Sycamore,biss balance,2021-05-24 03:27:29,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Sarge,biss balance,2021-05-24 03:27:46,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Willow,@Biss sundar,2021-05-24 03:29:06,UCTOQr7YA0rCFpmsHhMWIhzw,https://youtube.com/channel/UCTOQr7YA0rCFpmsHhMWIhzw
Author,Message,Date,Channel ID,Channel
Nolan McClellan,@Biss there are 2 CEO's of google...,2021-05-24 03:29:18,UCK2oowwWcP2kh7EZhf_xzWQ,https://youtube.com/channel/UCK2oowwWcP2kh7EZhf_xzWQ
Willow,biss orange,2021-05-24 03:29:44,UCTOQr7YA0rCFpmsHhMWIhzw,https://youtube.com/channel/UCTOQr7YA0rCFpmsHhMWIhzw
Author,Message,Date,Channel ID,Channel
Willow,biss update wallet 43siFDfaFDsdfdafjk,2021-05-24 03:30:16,UCTOQr7YA0rCFpmsHhMWIhzw,https://youtube.com/channel/UCTOQr7YA0rCFpmsHhMWIhzw
Author,Message,Date,Channel ID,Channel
Good Doggo,Biss I have something very important to say to you....... kowabazinga ,2021-05-24 03:30:55,UC9NqxEGy3To_CL1ZH3kv4dg,https://youtube.com/channel/UC9NqxEGy3To_CL1ZH3kv4dg
Willow,dont cyber bully biss,2021-05-24 03:31:16,UCTOQr7YA0rCFpmsHhMWIhzw,https://youtube.com/channel/UCTOQr7YA0rCFpmsHhMWIhzw
Author,Message,Date,Channel ID,Channel
Good Doggo,Biss it’s goku but with a gun,2021-05-24 03:41:54,UC9NqxEGy3To_CL1ZH3kv4dg,https://youtube.com/channel/UC9NqxEGy3To_CL1ZH3kv4dg
Willow,@Biss goku,2021-05-24 03:42:08,UCTOQr7YA0rCFpmsHhMWIhzw,https://youtube.com/channel/UCTOQr7YA0rCFpmsHhMWIhzw
Author,Message,Date,Channel ID,Channel
Sarge,@biss sundar,2021-05-24 03:49:32,UCPUtGqej5qHtmpCJZbqd6OA,https://youtube.com/channel/UCPUtGqej5qHtmpCJZbqd6OA
Author,Message,Date,Channel ID,Channel
Sycamore,@Biss charli,2021-05-24 03:54:07,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Katana,@Biss earnings,2021-05-24 03:54:10,UC13ojdFAJAd8t6Vbkz3Gu-w,https://youtube.com/channel/UC13ojdFAJAd8t6Vbkz3Gu-w
Author,Message,Date,Channel ID,Channel
Sycamore,biss balance,2021-05-24 03:54:43,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Sycamore,biss update wallet xx123test123xx,2021-05-24 03:55:36,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
Sycamore,@biss sundar,2021-05-24 05:11:02,UCQY9MsriTCLLsWzFdPK4w0g,https://youtube.com/channel/UCQY9MsriTCLLsWzFdPK4w0g
Author,Message,Date,Channel ID,Channel
naga kanthi mellacheruvu,@biss Sundar,2021-05-24 05:11:22,UCWKtszO3J40QPae0ikYBaUQ,https://youtube.com/channel/UCWKtszO3J40QPae0ikYBaUQ
Author,Message,Date,Channel ID,Channel
naga kanthi mellacheruvu,@Biss Charli,2021-05-24 05:12:28,UCWKtszO3J40QPae0ikYBaUQ,https://youtube.com/channel/UCWKtszO3J40QPae0ikYBaUQ
